iter	RMSE
0	109.3244956
1	107.7095395
2	105.2655165
3	104.3713096
4	104.1128252
5	102.5118063
6	101.9902735
7	101.5868186
8	101.4841152
9	101.3650433
10	101.239921
11	101.1923632
12	101.1923607
13	101.1905891
14	101.0649573
15	101.0632107
16	101.0625852
17	100.9850957
18	100.9584947
19	100.9310829
20	100.9298544
21	100.9031199
22	100.8714624
23	100.8518457
24	100.7909177
25	100.7829467
26	100.7340504
27	100.7265372
28	100.6436914
29	100.6392589
30	100.5988876
31	100.5397698
32	100.4309338
33	100.4058466
34	100.3529113
35	100.3089928
36	100.2810566
37	100.2543995
38	100.2472993
39	100.1933045
40	100.1877045
41	100.1675875
42	100.0728966
43	100.0379807
44	100.0156865
45	100.0033449
46	99.99406567
47	99.96893031
48	99.90384349
49	99.85360543
50	99.83877747
51	99.76664292
52	99.73942343
53	99.70230249
54	99.69245206
55	99.68381288
56	99.67571757
57	99.67417114
58	99.61888675
59	99.57632338
60	99.56062059
61	99.5136157
62	99.50992448
63	99.50017834
64	99.47457698
65	99.45464388
66	99.44513467
67	99.43546932
68	99.4289974
69	99.39030028
70	99.36725597
71	99.33106817
72	99.32060607
73	99.31250219
74	99.30364394
75	99.28686148
76	99.27355731
77	99.25204512
78	99.2092791
79	99.20178989
80	99.18848719
81	99.17320577
82	99.17187883
83	99.17109266
84	99.16722114
85	99.16432705
86	99.15976925
87	99.13546136
88	99.09665582
89	99.08271342
90	99.07742958
91	99.06009592
92	99.04035093
93	99.03095726
94	99.01907437
95	99.00002205
96	98.99876453
97	98.99614128
98	98.98322901
99	98.97101096
