iter	Passed	Remaining
0	48	4834
1	52	2551
2	54	1766
3	56	1349
4	57	1099
5	60	944
6	62	833
7	64	743
8	67	677
9	69	621
10	71	577
11	73	540
12	74	501
13	76	468
14	78	445
15	80	422
16	82	400
17	84	384
18	86	368
19	88	355
20	90	341
21	92	329
22	95	320
23	98	311
24	101	303
25	103	295
26	108	292
27	112	288
28	114	280
29	116	272
30	119	266
31	121	258
32	124	252
33	126	245
34	128	239
35	131	233
36	133	227
37	137	224
38	143	223
39	145	218
40	148	213
41	150	207
42	152	202
43	154	197
44	158	193
45	160	188
46	162	183
47	164	178
48	167	174
49	169	169
50	172	165
51	174	160
52	176	156
53	179	152
54	181	148
55	184	144
56	186	140
57	188	136
58	190	132
59	192	128
60	195	124
61	197	121
62	199	117
63	202	113
64	204	110
65	207	106
66	209	103
67	212	99
68	214	96
69	217	93
70	219	89
71	222	86
72	225	83
73	227	79
74	229	76
75	232	73
76	234	70
77	237	66
78	239	63
79	242	60
80	245	57
81	247	54
82	250	51
83	252	48
84	255	45
85	257	41
86	259	38
87	261	35
88	263	32
89	266	29
90	268	26
91	270	23
92	272	20
93	275	17
94	277	14
95	280	11
96	282	8
97	284	5
98	287	2
99	290	0
